npes	maxdepth	DoF	balOct	iter	cons	bal	mesh	rkstep	uzip_internal	unzip_external	unzip_comm	deriv	rhs	zip
4	16	1110293	18544	10	0.075569	0.115269	1.30196	620.77	63.4091	63.7393	28.7816	21.6086	475.179	4.26205
8	16	1110293	18544	10	0.147814	0.148504	1.02874	392.707	22.6184	46.1985	88.3254	12.6029	289.861	2.34426
16	16	1110293	18544	10	0.282457	0.266435	0.73761	226.531	6.41614	28.4303	100.967	8.13902	175.196	1.39846
32	16	1110293	18544	10	0.280186	0.269326	0.65122	157.153	3.82819	18.7918	110.3	5.32072	119.481	0.977427
64	16	1110293	18544	10	0.281873	0.273282	0.52770	105.878	1.52798	18.3113	83.4944	3.93476	75.9957	0.65043
