TimeStep	 C_HAM	 C_MOM0	 C_MOM1	 C_MOM2	
48800	0.317472	0.0472472	0.0560306	0.0523897
49200	0.320502	0.0452029	0.0580415	0.0528552
49600	0.358958	0.0475709	0.051735	0.0490138
50000	0.361218	0.0456266	0.0558982	0.0509222
50400	0.364184	0.043611	0.0532125	0.0484047
50800	0.36666	0.0464784	0.0510039	0.0483284
51200	0.388877	0.0458899	0.0542421	0.0491953
51600	0.392491	0.0427967	0.0500485	0.0465441
52000	0.449057	0.0467842	0.0540094	0.0489207
52400	0.454394	0.0451734	0.051338	0.0462467
52800	0.459304	0.0456929	0.0515539	0.0468425
53200	0.464453	0.0473672	0.0519822	0.0485907
53200	0.464453	0.0473672	0.0519822	0.0485907
53600	0.469547	0.0442977	0.0477865	0.0433147
54000	0.473334	0.0494445	0.0525865	0.0507017
54400	0.477692	0.0436735	0.0474742	0.0446362
54800	0.481006	0.0489985	0.0496563	0.0472415
55200	0.484313	0.0501567	0.0522236	0.0512355
55600	0.534323	0.0893475	0.090135	0.0886646
56000	0.831727	0.307222	0.308988	0.306449
56400	0.750793	0.317529	0.314884	0.315001
56800	0.651407	0.259864	0.2566	0.255943
57200	0.618718	0.228164	0.234041	0.231875
57600	0.608387	0.238661	0.245325	0.243146
58000	0.609382	0.203908	0.20871	0.203485
