npes	rkstep_ws_1	rkstep_ws_2	rkstep_ws_3	rkstep_ws_4	rkstep_ws_5	rkstep_ws_6	rkstep_ws_7
48	nan	nan	0.834506	1.58266	2.98509	5.90879	11.2387
96	nan	0.558138	0.868719	1.57056	3.35288	6.59991	11.08
192	0.371375	0.511661	0.837097	1.75614	3.67239	6.22385	12.341
384	0.355094	0.619508	1.047	1.92288	3.20235	6.8864	nan
768	0.382676	0.544889	1.10721	1.64075	4.00747	nan	nan
1536	0.39067	0.697535	0.98627	2.0612	nan	nan	nan
3072	0.383223	0.569038	1.06691	nan	nan	nan	nan
